raw_file_name	bis_processed_file	code	sample_id	label	band	year	min_age	cap_doy	age_group	age_note	treatment	group	lib_prep_batch	seq_run	pool	meth_seqs	meth_conv	unmeth_seqs	unmeth_conv	notes			mass	bhead	fwing	b_cort	s_cort	d_cort			
11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_3_263113988_1pre_A24_GGTAGC_R1_trimmed.fq.gz	11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_3_263113988_1pre_A24_GGTAGC_R1_trimmed_bismark_bt2.bismark.cov.gz	263113988_1pre	T_082	53	263113988	2015	1	165	SY	SY in 2015	cort	1pre	2	2	A_3	617	2.19	229	99.91			263113988_2015_165	18.25	27	114	2.9	35.43				
11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_1_263114306_1pre_E43_TACAGC_R1_trimmed.fq.gz	11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_1_263114306_1pre_E43_TACAGC_R1_trimmed_bismark_bt2.bismark.cov.gz	263114306_1pre	T_083	55	263114306	2015	1	167	SY	SY in 2015	control	1pre	2	3	B_1	268	1.76	475	99.55	tube says 4305 2.12F 6.16.15		263114306_2015_167	20.3	26.8	113	1.28	20.61				
11923_11163_124350_HFG22BGXG_Taff_D_3_263114321_1pre_F48_TCGGCA_R1_trimmed.fq.gz	11923_11163_124350_HFG22BGXG_Taff_D_3_263114321_1pre_F48_TCGGCA_R1_trimmed_bismark_bt2.bismark.cov.gz	263114321_1pre	T_095	56	263114321	2015	1	171	SY	SY in 2015	cort	1pre	2	5	D_3	13	4.51	175	99.93			263114321_2015_171	20.9	28.8	121	0.38	19.48				
11923_11163_124350_HFG22BGXG_Taff_D_3_263114339_1pre_A17_GTAGAG_R1_trimmed.fq.gz	11923_11163_124350_HFG22BGXG_Taff_D_3_263114339_1pre_A17_GTAGAG_R1_trimmed_bismark_bt2.bismark.cov.gz	263114339_1pre	T_089	57	263114339	2015	1	179	SY	SY in 2015	cort	1pre	2	5	D_3	14	2.02	59	99.7			263114339_2015_179	17.3	26.9	115.5	6.71	60.98				
11923_11163_124350_HFG22BGXG_Taff_D_2_222153407_2post_E42_TAATCG_R1_trimmed.fq.gz	11923_11163_124350_HFG22BGXG_Taff_D_2_222153407_2post_E42_TAATCG_R1_trimmed_bismark_bt2.bismark.cov.gz	222153407_2post	RR_006	4	222153407	2015	8	148	ASY	ASY when first caught in 2009	cort	2post	2	5	D_2	16	1.27	173	99.98			222153407_2015_148	21.75	28.2	119	18.29	79.79	29.8			
11922_11163_124347_H7HJ7BGXG_Taff_C_1_222154163_2post_D39_CTATAC_R1_trimmed.fq.gz	11922_11163_124347_H7HJ7BGXG_Taff_C_1_222154163_2post_D39_CTATAC_R1_trimmed_bismark_bt2.bismark.cov.gz	222154163_2post	RR_007	5	222154163	2015	7	151	ASY	ASY when first caught in 2010	control	2post	2	4	C_1	151	1.19	484	99.86			222154163_2015_151	19.5	28	116	7	10.93				
11922_11163_124347_H7HJ7BGXG_Taff_C_1_240150266_2post_F45_TCATTC_R1_trimmed.fq.gz	11922_11163_124347_H7HJ7BGXG_Taff_C_1_240150266_2post_F45_TCATTC_R1_trimmed_bismark_bt2.bismark.cov.gz	240150266_2post	RR_008	8	240150266	2015	3	150	ASY	ASY when first caught in 2014	control	2post	2	4	C_1	133	1.47	151	99.74			240150266_2015_150	21.25	28.4	116	3.95	12.25	7.35			
11922_11163_124347_H7HJ7BGXG_Taff_C_2_240150269_2post_C36_CCAACA_R1_trimmed.fq.gz	11922_11163_124347_H7HJ7BGXG_Taff_C_2_240150269_2post_C36_CCAACA_R1_trimmed_bismark_bt2.bismark.cov.gz	240150269_2post	RR_009	9	240150269	2015	3	156	ASY	ASY when first caught in 2014	control	2post	2	4	C_2	133	1.98	357	99.81			240150269_2015_156	20.25	28.5	119	5.81	29.3	17.52			
11667_11163_118597_HHM5FBGXF_Taff_Pool_3_T_069_C33_CAGGCG_R1_trimmed.fq.gz	11667_11163_118597_HHM5FBGXF_Taff_Pool_3_T_069_C33_CAGGCG_R1_trimmed_bismark_bt2.bismark.cov.gz	240150270_2post	T_069	10	240150270	2015	3	155	ASY	ASY when first caught in 2014	control	2post	1	1	X_3	149	2.08	121	99.62			240150270_2015_155	19.75	30	118	54.01	111.31				
11667_11163_118597_HHM5FBGXF_Taff_Pool_3_T_075_C34_CATGGC_R1_trimmed.fq.gz	11667_11163_118597_HHM5FBGXF_Taff_Pool_3_T_075_C34_CATGGC_R1_trimmed_bismark_bt2.bismark.cov.gz	240150278_2post	T_075	12	240150278	2015	3	156	ASY	ASY when first caught in 2014	control	2post	1	1	X_3	201	1.76	324	99.62			240150278_2015_156	20.25	28.4	117	2.7	35.17	35.03			
11922_11163_124347_H7HJ7BGXG_Taff_C_1_240150280_2post_D40_CTCAGA_R1_trimmed.fq.gz	11922_11163_124347_H7HJ7BGXG_Taff_C_1_240150280_2post_D40_CTCAGA_R1_trimmed_bismark_bt2.bismark.cov.gz	240150280_2post	RR_010	13	240150280	2015	2	155	ASY	SY in 2014	control	2post	2	4	C_1	158	0.91	332	99.65			240150280_2015_155	19	28.8	121	5.31	55.26	29.48			
11922_11163_124347_H7HJ7BGXG_Taff_C_2_240150281_2post_D38_CTAGCT_R1_trimmed.fq.gz	11922_11163_124347_H7HJ7BGXG_Taff_C_2_240150281_2post_D38_CTAGCT_R1_trimmed_bismark_bt2.bismark.cov.gz	240150281_2post	RR_011	14	240150281	2015	2	151	ASY	SY in 2014	cort	2post	2	4	C_2	96	1.39	142	99.86			240150281_2015_151	17.8	28.6	120	30.6	82.19				
11923_11163_124350_HFG22BGXG_Taff_D_1_240150287_2post_F45_TCATTC_R1_trimmed.fq.gz	11923_11163_124350_HFG22BGXG_Taff_D_1_240150287_2post_F45_TCATTC_R1_trimmed_bismark_bt2.bismark.cov.gz	240150287_2post	RR_012	15	240150287	2015	2	156	ASY	SY in 2014	control	2post	2	5	D_1	4	2.38	50	99.24	labeld 50275 2.106F 6.5.15		240150287_2015_156	19.1	27.9	114	3.22	23.46	29.76			
11923_11163_124350_HFG22BGXG_Taff_D_1_240150299_2post_B29_CAACTA_R1_trimmed.fq.gz	11923_11163_124350_HFG22BGXG_Taff_D_1_240150299_2post_B29_CAACTA_R1_trimmed_bismark_bt2.bismark.cov.gz	240150299_2post	RR_013	16	240150299	2015	3	159	ASY	ASY when first caught in 2014	cort	2post	2	5	D_1	6	9.67	92	99.71			240150299_2015_159	20	28.7	119	7.57	17.27	42.64			
11667_11163_118597_HHM5FBGXF_Taff_Pool_2_T_061_C35_CATTTT_R1_trimmed.fq.gz	11667_11163_118597_HHM5FBGXF_Taff_Pool_2_T_061_C35_CATTTT_R1_trimmed_bismark_bt2.bismark.cov.gz	259122567_2post	T_061	20	259122567	2015	1	150	SY	SY in 2015	cort	2post	1	1	X_2	249	2.02	699	99.54			259122567_2015_150	21.25	28.5	119	164.88	15.81	30.08			
11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_1_262125512_2post_D39_CTATAC_R1_trimmed.fq.gz	11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_1_262125512_2post_D39_CTATAC_R1_trimmed_bismark_bt2.bismark.cov.gz	262125512_2post	RR_014	21	262125512	2015	2	165	ASY	first caught ASY in 2015	control	2post	2	2	A_1	123	0.75	54	98.39			262125512_2015_165	18.75	28.7	114	1.85	23.62	30.05			
11667_11163_118597_HHM5FBGXF_Taff_Pool_4_T_074_C36_CCAACA_R1_trimmed.fq.gz	11667_11163_118597_HHM5FBGXF_Taff_Pool_4_T_074_C36_CCAACA_R1_trimmed_bismark_bt2.bismark.cov.gz	262125706_2post	T_074	22	262125706	2015	1	156	SY	SY in 2015	cort	2post	1	1	X_4	437	5.33	296	99.62			262125706_2015_156	18.25	27.3	114	16.79	148.92				
11923_11163_124350_HFG22BGXG_Taff_D_1_262125888_2post_A24_GGTAGC_R1_trimmed.fq.gz	11923_11163_124350_HFG22BGXG_Taff_D_1_262125888_2post_A24_GGTAGC_R1_trimmed_bismark_bt2.bismark.cov.gz	262125888_2post	RR_015	24	262125888	2015	1	184	SY	SY in 2015	cort	2post	2	5	D_1	10	1.98	158	99.61			262125888_2015_184	18	27.8	112	3.17	58.87				
11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_1_262126026_2post_C36_CCAACA_R1_trimmed.fq.gz	11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_1_262126026_2post_C36_CCAACA_R1_trimmed_bismark_bt2.bismark.cov.gz	262126026_2post	RR_017	26	262126026	2015	1	159	SY	SY in 2015	cort	2post	2	2	A_1	55	2.42	146	95.8			262126026_2015_159	21.75	29.6	120.5	11.14	45.32	41.51			
